"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 19 14:25:26 BRT 2022","Thu May 19 14:25:42 BRT 2022","16079","","fazer uma compra de um produto x","","","","criar uma conta",""
"passed","Thu May 19 14:25:22 BRT 2022","Thu May 19 14:25:26 BRT 2022","3642","","fazer uma compra de um produto x","","","","visitar o site",""
